,Tweet
4137,@eijisantokappa 政治家だし常に襟を正さないと👌
4138,"【中学社会78】＜歴史　２内容＞
(4) 近世の日本
エ　社会の変動や欧米諸国の接近，幕府の政治改革，新しい学問・思想の動きなどを通して，幕府の政治が次第に行き詰まりをみせたことを理解させる。"
4139,え、政治家に転身したの？
4140,サークル「オタギイン」冬コミ新刊 #オリジナル #政治家 #コミケ #表現の自由 #政治 #新刊 #冬コミ #C101 #おぎの稔 #漫画 https://t.co/M9Y8w0NMkm https://t.co/HdeuOrFnNX
4141,"ジャバザハットなんかどうよ？

ハニトラリンちゃんとか"
4142,"政治関係の事でツイートしたらいきなり知らん奴から絡まれたんだけどこわwww

知らない相手にいきなりタメ語で上から目線とか現実でできない事をSNSで
顔も晒さず威張ってるあたりほんと
きもいwww

政治に熱いのは構わんけどそういう変人のせいで若者が政治について語りづらくなるんだよなー"
4143,@turishi_ryu 某食事漫画で縁起のいいもの食べてしまって撃沈していた政治家がいたんだよな〜
4144,"#Twitter一揆1222
#皆が年越せるよう一律に給付金配れ 

政治に無視されない為に
諦めてはいけません。
選挙は投票しましょう。
ダメな人を落としましょう。

#増税は悪魔の選択肢
先ずは、全ての個人へ一律現金給付せよ

#STOPインボイス
#マイナンバーカード義務化に反対します https://t.co/pNBMRXzSrZ"
4145,"これも勿論捜査対象になりますよね！まずは自民党の政治お金の問題解決が先では？
#自民党の政治とお金 https://t.co/4ZTFiBAD3c https://t.co/XEvXMzHL9M"
4146,"送迎バス子どもの置き去り事故相次ぐ 悲劇繰り返さないために | NHK政治マガジン
#子供が安心安全な社会を
#保育士のための抜本的な改善策を
#川崎幼稚園　#双葉保育園 https://t.co/PvIQPIlVLA"
4147,@Sekaishisuko ホーゲの場合はそもそも姻族までは切らねえよってポーズ取らねえといけないので政治的必要があります（子供への態度についてはドルゴンの個人的なめんどくささなのでおいといて
4148,"テルアビブ空港乱射事件
1972年5月30日にイスラエルのテルアビブ近郊都市ロッドに所在するロッド国際空港（現:ベン・グリオン国際空港）で発生した、パレスチナ解放人民戦線（PFLP）が計画し、赤軍派（後の日本赤軍グループ）3名が実… https://t.co/wxccfMlnfL"
4149,タリバンのやっていることは、神の名を騙る悪質な強権政治 https://t.co/1GLRcI1T3k
4150,"ソノウラー、数年後の選挙で復活とか
狙ってるんじゃぁねぇよ。銀座ホステス遊びに
政治資金つぎ込むって、税金泥棒か？どれ程、
庶民を舐めくさってるか、自覚はあるのか？ https://t.co/TUi7bx7zmK"
4151,"政治に宗教を取り入れるって正気の沙汰じゃないわな
現実性がなく、不安定過ぎるんだよ
自然界に存在する法則や方程式から導き出された理論を政治に取り入れるべきじゃないかな"
4152,"東京オリンピック2020(当時)のスタジアムはコンペで決まったザハ・ハディド氏の案になる筈だった。北京の鳥の巣やロンドンスタジアムと戦えるデザインだった。
あれを否定したのは誰？
建設困難を理由にしたが、譲渡案も打診されてた。
結局急拵えの中途半端。
夢や希望より政治家の利権優先に感じる。"
4153,"政治家が選挙前だけ演説するの嫌い。日常的にやることが大事なのでは？
と思うけど。まあ、「お忙しい」ので無理か。"
4154,"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 亜樹良さんはもし政治家になった…
● 旅行行くならどこ誰と行きたいで…
● エコーカートン最高！！！
● 不倫する人間ってどう思いますか…
#質問箱 #匿名質問募集中

https://t.co/s9AMvB8nSU"
4155,"旧統一教会の支援で当選した議員がなんで偉そーにしているのか？？
日本の政治家は情け無い‼️
恥ずかしくないのか？
本当におかしい国です

＃岸田は旧統一教会で初当選
辞めろこの信者‼️"
4156,"ドン引きニュースライブ！生放送始まったよん
みてね！

【LIVE】国連「日本よ難民受け入れろ」/朝日「二重国籍認めろ」/早大名誉教授「ネトウヨは餓死すれば？」／赤旗「ページ減らします」 他 地元愛衣... https://t.co/a3FhSlsIHt @YouTubeより 

#テロリスト　#外患誘致　#学術会議"
4157,"何処の企業とどういった形で利権が絡んでるのですか？
様々な疑問に答えて頂けるんですよね？
隠さずに教えて下さいね。
よろしく。 https://t.co/5DyIGbvWIr"
4158,@ven12665 自戒の意味もありますが、Twitter上では政治のそういった一面を軽視している輩が多いこと多いこと……
4159,"「国葬」の検討話題、本当に不愉快だ。
ご本人、ご親族はさぞや・・・。
反対者は、推して知るべし特殊な一部。
　当日の献花には物凄い行列が続いた。空からヘリコプタ―が飛んでいたので、報道されると思っていたのだが。
安倍晋三のお人柄、政治的センスと実力。
彼以上の人物は当分出まい。 https://t.co/RMcOMS5yBJ"
4160,"細野・長島・桜井ら売国奴と呼ばれる奴、国民は許すのか！ 

おのが金のためなら、政治信条も何もあったもんじゃない。

ナチに身体を売ったフランスの女は丸刈りの罰にあった。

https://t.co/gkOrtd3uTJ"
4161,サイフ子はん、これ政治がどーとかあんま関係ないで。理由はアレがおんむすに喧嘩売った仁藤はんに喧嘩売った連中に喧嘩売ったからや。商売人としちゃあやっちゃならんやつやで。ゴミクズと言われて腹立たん奴おらへんやろ？サイフ子はんはまだマシやが、他の連中はアレを美化しすぎやで。 https://t.co/Q1pyEmPnXE https://t.co/j1EC8PqxD3
4162,"@Hibiki_0520 私もそー思う！
賞与とかもきっと破格でしょーし。
走行税まで言い出してさ…バカじゃないの？自分たちは生活費に苦労ないでしょうけど国民はアップアップなんだよ！
政治家も大変なんだろーけど税金あげる前に自分達の給料見直して欲しい！"
4163,"まあそうだよ、黒川氏

政治ってのは家財道具うって、借金こさえて、逃げ回ってやるものが本来だから

ただしまあ、ちょっと立場を考えないといかんだろなあ

この世代の自己都合的なものが見えてしょうがない

https://t.co/RnhZaLSWn6"
4164,"いずも型護衛艦/日本/DDH(護衛艦)
お前のような駆逐艦がいるか(テンプレ)
外国だとV/STOL運用能力が付いてくるが、日本の場合は金と政治的な問題で純然なヘリ空母として建造した
と思ったが、まさかのF-35B搭載が決定した
https://t.co/ysd6aGYk1C"
4165,"@partyhike 天引きされたりしてるのが問題ですよね💦

税金が引かれたあとしか分からないので、会社が負担している分は分からないです。

全てもらってから、所得税や住民税、社会保険料を払うようにしたら、もっと政治に関わるようになるのでは？"
4166,"@ouendan10 政治家になってしまえば、後は自由自在な政治家生活が始まり、順番をまてば「椅子」が勝手に回ってくる？
困ったものだ。"
4167,"@surumelock 共産党が掲げていた「市民の政治参加」が現実のものになりつつあるお！！
共産党の目的がまた一つ達成されつつあるお！！
共産党は喜んでいいお！！

 …何故共産党が、市民の情報公開請求に不快感を示すのでちゅか🤤？"
4168,@ashitawawatashi ゲームとアニメで政治に関心を持たせないこと、小選挙区制で分散した野党が圧倒的に不利なこと、島国と言語の問題から海外で人々の生活レベルが上がっているという情報が入らないことなどにより、こんなになってしまいました。気付いたら周回遅れですよ。
4169,"@brahmslover 他国の領土にミサイル撃ち込んで兵士以外の人間巻き込んで、それで『専守防衛だ！』とは言えませんね。

あと『政治的な必要性と合理性』なんてのはどこまでもねじ曲げ放題の信頼できないものだと思っています。"
4170,"静岡、浜松市長退任へ　転換期迎える２政令市【追跡２０２２④】
２０２３年４月の静岡、浜松両市長選で、いずれも現職が不出馬を表明した。１０年以上にわたり政令市のかじ取りを担ったリーダー２氏が今期限りで退任し、県内政治は転換期を迎える。
https://t.co/wcKBpDy7du"
4171,そもそもｷｼ田の顔はゴムだという人がいるが、ゴムだからどうしたというのか？　ｷｼ田は正義の味方により処分され、代わりがゴムを被ってｷｼ田の真似をしているとでも言いたいのか？　バカな夢物語は止めよう‼️
4172,"#参政党 の #いがらしまさお さんは何の為に選挙に出たいのですか？
「戦争？」、「勝つため？」

　西東京市民の暮らしを良くする為でしょう❗️
　あなたは『公職選挙法』を無視しても、保身の為に、自己の利益を追求する為に市議会議員になりたいのですか？
　あなたに政治家の資質は全くありません❗️ https://t.co/4fqI43dTlP"
4173,うう、どういうことだ？やっぱりノンバイナリーとクィアは政治的な言葉だったのか。 https://t.co/xRKj0QUyV1
4174,"政治的なこととかそういうことはあんまーり反応しませんが、守銭奴なので、
税金関係の話には過敏に反応します"
4175,"薬害にあった　いつまでも病院のせい医療のせい誰かのせいにしてたら治んないよ
つい半年前までは言葉もわからない話すこともできない歩けない動けなかった
政治の事でも世の中の事社会の事勉強してるとこ
少数派であっても教えてくれる人だっている
立ち上がるために学んでる"
4176,要するに「適切な政治判断」とはぼくは考えていないのです。あえていえば、「不適切な政治判断」がそれなりに「適切な行政過程」で実現したという認識。
4177,"【政治用語】
政府首脳と新聞に書かれている時は、ほとんどが官房長官。"
4178,"@shiikazuo 新しい政治をつくろうって誰が政権担うんだよ志位さん！w

まさか共産党と強いつながりがある界隈で政権担当しようなんて思ってないですよね？
ないですよね？？

だって、そんなことになったら
史上初の【公安調査庁調査対象政権】
になっちゃいますからね！wwww
やべぇわww

#男女共同参画
#Colabo"
4179,政府がギフテッドを認め低予算を支援する事に賛成で有る。特別学級は無理だが、図書室に児童書では無く、学術書を少し用意すれば後は自習が可能となる。自立心・自助努力で自習させれば良く、自習故に自己の得意分野が延びるのみと成るが、学習意欲は維持できると思う。低予算で効果的な政治を求める。 https://t.co/XE7BCP23bd
4180,@jGgNxLoPCuNW748 あれがゆるキャラか？😆
4181,"私達が知っている福祉を終わらせる
政治家・ウィリアム・ジェファーソン・クリントン"
4182,"これが自民党、三権分立を安倍が破壊した結果、やりたい放題。野党議員なら確実に逮捕され有罪。
#自民党が滅びなければ日本が滅ぶ 
#自民党に投票するからこうなる
#自民党政治を終わらせよう 

茂木外相の政治団体、使途不明の支出が１億2000万円以上　全体の97%占める　https://t.co/pYaZcBjpLI"
4183,わたしに一番近い政治思想は「キリスト教民主主義」だよ！あなたは？ https://t.co/e7ZrtaA9JV #8values #8valuesJa
4184,"恋をしても賢くいるなんて、不可能だ
フランシス・ベーコン(1561年～1626年)　イギリスの哲学者、神学者、法学者、政治家"
4185,"ほんこんとか三浦マイルドは芸人から政治関係の発言ヤバい…みたいな反応されたり馬鹿にしてる人をよく見るけど、ウーマン村本？は誰一人話題にあげない、触れない時点でこっちの方が闇深い

それとも芸人みんな村本みたいな思想してるからなのか…危険すぎ"
4186,@shiikazuo 新しい政治を担える政党がなく政治家がいない。困った事です。
4187,"政治とか野球とかの話題で突っかかって来る人は通報します。
あとたけのこの里とかいうｱﾅﾙﾊﾞｲﾌﾞみたいな菓子のファン。"
4188,@kennoguchi0821 @akasayiigaremus 今の一部政治家の方々に見て心に響かせてほしい言葉です
4189,健康解釈論では現況国家元首トリプル拘束ですが故安倍晋三本人にナマモノ贈与でいつかは有名人になり生でお会いしようとしたならば4年後に先代故内閣総理大臣自ら動いてしまいそこまで考察する余裕無。結果的に健康被害者として医学成立しており発症は政治家対応保存食品→安倍親族対応ナマモノ細菌類 https://t.co/moFvmufAMr
4190,”もともと政党は憲法２１条の結社の自由にもとづいて、国家から監督や規制を受けずに活動する自主的な組織であり、その活動は全面的に保障されなければなりません。国から政党助成金を受けたり、企業・団体献金を受けていれば、国民本位の政治がおこなえないことは、すでに明らかです。”
4191,茂木敏充後援会で、2016〜2019年の4年間の使途不明支出が、1億2000万円以上になることが、政治資金収支報告書で分かった❗️ 薗浦健太郎元議員は、過小申告で21日に議員辞職したが、茂木も辞職させるべきだ😡😡 https://t.co/W44YXMuKBg
4192,皇道經濟！　今、世界に最も必要なもの♪＾＾
4193,"@shiikazuo 新しい政治を作るのは賛成だ！！！
だが、共産党には不可能なことだ！！！！
断言する！！！！"
4194,カリンバを始めたいと思う。
4195,一回移民も難民も入れて日本を滅茶苦茶にして欲しい。その方が今よりは良くなるのではと思ってしまう。困るのは年寄りと政治家だけでしょ？ https://t.co/AwnQ19qKbT
4196,確かに。山上氏が現場で取り押さえられて数分後に、「政治的な問題ではない」とか「宗教法人がなんたら」とか動機について報道されてた。まだ現場にいるタイミングで。しかもすべての放送局で。 https://t.co/OJZNxDfv6E
4197,Twitterでは、もう政治に関する話は絶対にしません
4198,【銀八】小倉山　峰のもみぢ葉　心あらば　今ひとたびの　みゆき待たなむ　「紅葉よ、もしお前に心があるなら天皇がお越しになるまで散らずに待っててよ」上皇がわが子の天皇に素晴らしい紅葉を見せたい、と言ってその家臣が詠んだ歌だ。上皇、天皇、廷臣…当時の政治が見え隠れしてるよな。
4199,"#Yahooニュース
https://t.co/F6sovvzMRM 

#Twitter一揆1222
#皆が年越せるよう一律に給付金配れ
#さらに必要な対策は消費税減税
@kishida230

危機感のない政権と政治家に選挙で鉄槌を

#物価高騰からくらしを守って
#最低賃金1500円
#国民を守らない日本政府
#自民党政治を終わらせよう"
4200,保守の観点から見た現在のわが国は、不文憲法から逸脱する事象に溢れている。古来より尊重されてきた規範に照らして、おかしなところを一つ一つ修正することが、いま求められる政治のあり方である。政治家の役割は、制度設計ではなく、制度保守でなければならない。
4201,"相手が不快なことを口走っても嫌がらずに、
むしろ積極的にそれを取り上げて、
少しでも相手の意見を尊重していることを示すのだ。
そうすれば相手もこちらの意見を尊重してくれる。

-　ベンジャミン・フランクリン　-
（米国の政治家、外交官、著述家、物理学者、気象学者 / 1706～1790）　Wikipedia"
4202,"ゴールへ到達しようとの試みにこそ、
栄光はある。

-　ガンジー　-
（インドの弁護士、宗教家、政治指導者 / 1869～1948）　Wikipedia"
4203,"政治係団体のネットワークです。構成団体募集中！
当分無料営業。
声明の発表など、拡散に！"
4204,"露には言われたくないがその通り

&gt;ロシア外務省は声明で「日本が攻撃能力の獲得を含む、前例のない軍事力増強の道を歩み始めたことがはっきりと見て取れる」と主張。
&gt;「歴代の政治家が繰り返し宣言してきた平和的な発展を明確に否定し、抑制のきかない軍国主義路線に戻ることを意味する」と断じた。 https://t.co/Igiy8wM8ec"
4205,"友よ 逆境にあっては 常に こう叫ばねばならない
「希望 希望 また希望」と

ヴィクトル・ユゴー　「レ・ミゼラブル」で有名な、仏の小説家・政治家 #名言　#社長"
4206,"@_dotmayo 自民党の補完勢力なんて
税金の無駄。😩😱😭🥵💩
日本政治停滞の一因です。"
4207,"困難がギフトを強くするような、つやくも弱くもしないような。

#ギフテッドありがとう https://t.co/58ZLg4k7bm"
4208,"@shiikazuo 新しい政治を作るなら国民の汗水流して納めた税金が公平に使われる社会にしてほしい。

どこかの団体が怪しい経理をして税金をちゅーちゅーさせないように…。"
4209,"北朝鮮の豆知識その23
政治体制はチュチェ思想（主体思想。即ち朝鮮民族の主体主義）に基づく社会主義体制（社会主義人民共和制）をとる。Androidアプリ「知られざる北朝鮮の秘密！」https://t.co/cYSJSz0Rqi"
4210,政治って右だ左だカテゴライズしないと前に進めないのかね？
4211,ソヴィエト・ロシアの戦略ミサイル原潜では、党の命令を受け取り、艦長が発射態勢を整え、政治士官がそれを監督し、WDNV大先輩がテレビの前に居られる時間を確認することでようやくSSBMを発射することができそう。
4212,政治的なエンタメは大好きだけど政治がエンタメを都合良く利用するのはとてもいや
4213,十条駅前の再開発。北区は少子高齢化が深刻なため、再開発などにより人口流入を増やす必要があります。また、田端などは賃貸料金が安くビジネスの中心地までのアクセスが良いにもかかわらず、不人気で、その魅力を上手く発信できていません。政治家が大企業やスタートアップ等に誘致を働きかけるべき。 https://t.co/rd8F4JhAq3
4214,政治:政府、国葬実施手順の検討へ　有識者の論点整理を公表https://t.co/xHVpPYfaWu
4215,政治:鶴保氏くら替え出馬案が浮上　自民、衆院和歌山１区補選https://t.co/78Z5XZErUC
4216,"@123puzz ありがとうございます☺️
そうなんですよね。理念は素敵で応援したいのに政治を絡めるのは違いますしね💦
本当に早めに全部クリーンになったらいいんですけどね💦"
4217,この間の、魚屋のおっちゃんねるの菅さんの回でも、安倍さんのエピソードが出ると、いまだに泣いてしまう。不世出の政治家を失ってしまった。本当に悔しくてたまらない。 https://t.co/uTaOLXHLHJ
4218,企業も政治家同様腐っているって事ですね。 https://t.co/go2PWPbiel
4219,自民党の政治家が勇ましい攻撃的な発言をし、発言の結果の責任は全く負わない事は旧日本軍と同様。 https://t.co/Z8kWalaoFf
4220,"大切な友達がある日突然行方不明になり翌朝教室では「横田がいなくなった」と先生が言う。懸命に探すが手掛がりもない。そして20年後に突然北朝鮮にいる事がわかる。でも警察も政治家も助けてはくれない。
私が北朝鮮に拉致された横田めぐみさんの友達ならどうしたを考え続ける。
#拉致被害者全員奪還 https://t.co/PGoOG0CoFU"
4221,"本文より「山本太郎を支持することで、次々と怒りが焚きつけられ、苛立ちが強くなるいっぽうだった」

こういうとこですよ。こういう「活動」、他にも色々あるでしょ？　→

政治に誘導され利用された人々が犯した罪｜カトウ・ブン・フミヒロ @mostsouthguitar #note https://t.co/5TnBjjnzRp"
4222,"東京都、コロナ感染拡大で医療提供体制の警戒度を“最も深刻なレベル”に引き上げ 9月8日以来、約3カ月半ぶり（ABEMA TIMES） - Yahoo!ニュース

政治が全く機能しないから悪くなる一方です。
 https://t.co/5rPnA7umlV"
4223,"男子に偏る国の政治、久しき不正を洗ひ去らん。
──与謝野晶子"
4224,@ShigeranaiOmi まあ怖い。政治家さんもまるで893みたいです。
4225,"@HXTuJJPn9sDYlih @nomorepropagand @TMT69J @Moka_Wisdom @craneopesan @52X4eOjW5zC5AVC 返済終了な訳がないでしょう。
政府が銀行経由で最終的に日銀が買ったとしても、政府
の債務は消えたりしません。
それを通過発行と言うのなら、それだけ通貨が発行されるという事ですよね？
ドルに対して円があふれる事に対する反論になっていませんが？"
4226,政治家になるには鈍感力が必要みたいな話はわかるんだけど、それは恥知らずになれって意味ではねーんだよなという事例がまぁまぁ見られる感じある
4227,"@jinkamiya それはそこの記事に関わった人達がやってる事で、乗っかる様な形はやめてほしいです。
仮に言うなら何故その方達の様に形にしないのか疑問です。
神谷さんは国会質疑で政治家として関わった事の成果を主張してほしいです。

国会質疑をきちんと見ていますが、現状はガッカリしています。"
4228,（社会）1990年代に自由民主党内の清和会で「三六闘争」という権力闘争を起こした政治家をフルネームで1人　→　「かとうむつき」他１人
4229,"外国人ではなく日本人優先の政治
困っている日本人を救う、財政破綻したギリシャより20年長期的視野でみてもGDPが下で明らかな政策の誤りであることは明らか
消費税ゼロ、粗利全額補償100兆円規模の財政出動
これくらいは極端なインフレにならずに実行可能です
#くにもり https://t.co/FEFZgCFNuj"
4230,@tianyu_sukku どの俳優さんですか？うらやましいな。私も正直日本の俳優さんになりたかった。そしたら会う機会があったのに、政治家でもなりたい。
4231,@akasakaroman 戦前の皇族「政治家より上の立場だけど行ったぞ
4232,イギリスの政党はイデオロギー的な面が政策に反映されており、中央集権的である。#特別区　#東京都　#市役所　#公務員　#政治学
4233,"ダービー馬のオーナーになることは、
一国の宰相になることより難しい
byウィンストン・チャーチル（政治家・元イギリス首相）
世界競馬における印象的な名言なんだが、これを自分に置き換えると…"
4234,☆古い政治を壊す。新しい政治を創る。
4235,"@MIKITO_777 そんなに言うんなら
政治家にでもなれば？
週一医でもできるだろ
当選すればだけど"
4236,政治や経済も勉強している。いつかは自分が指導者となって日本を潤したい。 ##フォロバ100
4237,@AtaruSasaki 全部デクラス！2世議員はこれに異議できるかな？！🤣今までの政治全部見せてくれてる（やらされてる）❗️最高！どんどんやって政治家全部潰れてしまえ
4238,"@mainichi_shakai また自民党か。笑

犯罪者集団だな…"
4239,"左派が日本人と思うのが

間違いだと思っています❗️

🇯🇵の野党は
在日隣国人が自分の利益の
為に政治団体を創り、

リベラル(左派)を名乗るが

🇨🇳ウイグル族人権問題は一言も意見しない🤮😱⤵️

詰まり左派では無く

在日隣国人の利益団体😁‼️
と理解している😁‼️ https://t.co/754Wy0ocAB"
4240,"ソノケンさん、公民権停止が明けたら香川1区から出たらいいんじゃない？

自民 薗浦健太郎衆院議員が議員辞職 千葉5区の補欠選挙へ | NHK政治マガジン https://t.co/vsiSRbtbl3"
4241,国際政治嫌すぎる
4242,野良猫保護に熱心な政治家が挨拶に来た。
4243,"@kazuyahkd2 マスク基地外とワクチン基地外から見たらそう見えますね。
政治的な思想と同じですよ。
極左から見たら自民党すら保守政党に見えますからね。"
4244,"二次元を好んで痴漢しない例あたしが存在するで""だから""の関係にならないし、そもそも表現規制しなくていいし二次元と痴漢に""だから""の関係にない。
目的にならない。"
4245,@shiikazuo 新しい政治ってどんなのですか？
4246,ブルアカ生放送と国際政治chがかぶるとかそんなのある…？
4247,"ガブリエル･トゥルバイ･アブナーデル(1901~1947)
コロンビアの医師、政治家、外交官。国立大学で医学を修め、地元で医師として働いた。後に自由党に入党。秘書官などを経て27年に下院議員、34年に上院議員に当選し、外務大臣や自由党党首などを務めた。46年大統領選挙に立候補するが、落選 https://t.co/Fdcv6YmCFI"
4248,国際政治ch始まった！ゴーストオブキーウ作りながら見ますよ。 https://t.co/xRSM6lL65K
4249,"@777kissmyass @ppsh41_1945 @ShinShinohara 消費税が4年で5％で日本の貯蓄率は上がりました、これはアベノミクス自体ではなく政治の問題ですね。
アベノミクスを論じるに当たって、過去のケインズとハイエクの時代から議論本筋はそこまで変化してないような印象です。"
4250,"#日テレ
すごいな。 https://t.co/4lCZXCclQs"
4251,@shiraishi1996 どうだろう、、。東京では全然かな、、。でも沖縄でもどこに住んでるか、どいうい政治的立場か、そもそもどの程度政治に興味あるかで情報の入り方は違うと思う。
4252,"原発再稼働を望む人達は電力不足とか電気代高騰を懸念してるの？電気代はテコ入れしたから安くなるし、電力も少し節電したら足りてるよね。

それよりどうやって脱原発をするか、クリーンエネルギーにどう転換してくかが重要じゃないの。

目先の事ばかり小細工して今の政治と同じだね。さすが日本。"
4253,"オレのTwitterにはケンモメシとおじさん構文と政治批判しか流れてこないんかw
見る気無くすわwww"
4254,クリパ始まった🥳　※国際政治ch視聴の意味
4255,"@IrlqLDwoijDLX9l @RyoOgawa12 @YouTube 本当に困りますよね💦
炎上で再生数稼ぐのではなく、
ソースをしっかりだして動画を作っていかないと、
見てくれる人はどんどん減っていってしまうと思います。
政治ネタにも首突っ込んでましたし。"
4256,"「#拡散希望「#日米合同委員会」とは
①日本の政治の全てを米国が決める機関
②月2回,#ニュー山王ホテル!で開催
③参加者は米軍の指揮官と、日本の高級官僚
④日本の政治家は総理も出禁!
⑤#TPP!#移民!全てここで決められた!https://t.co/xjgQ7n4GPV"
4257,街で政治家の先生様が街頭演説をしていて、「今、日本はまさに崖っぷちに立たされている状態でございます！」って言ってて、まぁそうだよねぇと思ったてら「我々は今、新たなる一歩を踏み出すために…」って言ってて、((崖っぷちから一歩踏み出したら…))って心のなかで突っ込んだ。
4258,アマゾンは社内政治と根回しを排除する｜六角明雄（中小企業診断士・経営コンサルタント・ビジネス書作家） @21keiei #note https://t.co/MMvMzy0bUf
4259,"フジテレビ、政治部記者が岸田政権の総理周辺を籠絡か - 市況かぶ全力２階建 
#岸田翔太郎 https://t.co/E3qqLprmQ6"
4260,@fibers_ahun 銀英伝で政治語る奴はシカトしていい高校校歌をウーハー付きで流さないと(使命感)
4261,"日本史政治変わりすぎてクソ
卑弥呼が2000年間呪術で政権握ってればどれだけ楽なことか"
4262,"「私は民主的で自由な社会の実現のために生きている。しかし、もし必要であらばその理想のために、私は死ぬことも覚悟している。」
政治家、ネルソン・マンデラの決意ある言葉"
4263,共産党。。。どうすんの https://t.co/IpFektTMYD
4264,愛国保守特定政治家礼賛幇間芸であんまり目立てなくて最近もけなげに続けてなんとかおこぼれをもらおうとしてる元自民党広報紙記者のムーブが面白い。
4265,@t2PrW6hArJWQR5S 国民のことを思う政治家は皆無に等しいから望むだけ空しくなるよ。
4266,勉強垢で政治ツイ←†悔い改めて†
4267,"@nhk_news 抜粋↓
コロナワクチンを接種したため多くの人々が副反応を発症し、死亡したのではないかと指摘する声が多数上がっています。ワクチンの危険性を隠蔽しつづける政治家、ヤブ医者、マスコミが厳正に裁かれこれ以上ワクチン接種によって命を落とす人が出ないよう心から祈りますhttps://t.co/VHZc5xCMfR"
4268,【東京オリンピックに浮かれている場合ではない！開催すら危うい】原発廃炉作業に絶望、もはやお手上げ、死の墓場への道https://t.co/pD8U6GICH9 …政治家は明確な見解を示すべき、メディアは事実を明らかにすべき、でなければ存在価値はない！ https://t.co/KVYMjHffRk
4269,消費税を法人税減税の穴埋めに使うなど自民党の悪事を次々と暴露し国民の為の政治を主張する山本太郎議員はカルト政党の邪魔でしか無い。メディアを支配する自民党が出演さすまい！ https://t.co/IQg1vQ7Hm5
4270,"@taketo1024 掛け算の順序云々を論理的に学ぶとか言ってるのもヤバすぎだと思います…

鶴亀算と方程式の話とはまったく関係ない…"
4271,"@keidaka2 誰が悪い？

コロナの出所かな？

コロナが出る前は順調だったのにね。子供の楽しみである行事が三年以上普通に出来なかったのは、大きな損失だったよ。

何でそんな国のご機嫌取りを政治家がするのだろう？何でそんな国に対してプラカードで抗議しないの？

そっちの方が不安になるわ‼️"
4272,ちょっと口が悪いくらいで辞めなあかん政治の世界っておかしいやろ。口が悪いなんかどうでもよくなるくらいもっと汚い事しとる政治家くそ程おるやん。まずそいつらから辞職や。はよ辞めてくれ。口が悪くなってしまうくらい熱い政治やっとるやつおるか？上辺だけうまいこと言うて裏でえげつない事しとる
4273,"📚1/15(日)13:30〜梅田ラテラル

「政治×ジェンダー☆爆笑しゃべり場」

【出演】
辻元清美（立憲民主党・参議院議員）
アルテイシア（作家）
@tsujimotokiyomi @artesia59 

おじさん社会、政界を辻元さんはどうサバイブしてきたのか？アルテイシアさんとの対談！

https://t.co/ha7c3x6xO5"
4274,政治家よりも、政治屋の方が日本は多いんですかねぇ。
4275,"どんなに寒くても
#蕎麦はざる
#ランチ https://t.co/lCZ5Nz519E"
4276,"憲法の専守防衛を守れよ👊😡💢！

#憲法は権力者をしばるもの
#壊憲反対
#軍拡反対
#自民党が滅びなければ日本が滅ぶ
#自民党に殺される
#自民党政治を終わらせよう
#ストップ自公政権

政治からの🏺排除は国防の最優先課題です。 https://t.co/rUQtWM1NOZ"
4277,@tobimono2 悩ましいですよ好きな監督なので。演劇界は政治屋に乗っ取られちゃっていて、かみさんは芝居はもう行かない言うてて。映画もこんなんで。まぁ良いけどね
4278,さすがにこの切り取りは悪意of悪意やろ。山上がやったことで馬鹿な政治家が実際に動かされて馬鹿な国民が世論誘導され、結果的に世直し的な行動が成立しちまったということを憂いて非難してるんやろ…なんでお前らそんなに馬鹿なんだ… https://t.co/qx7S6lOTcY
4279,"@qqHYTtTluqYrMwa @LJuWV2hxyA3y5CM つーか松田が言ったっていうグレー云々のツイート調べたら政治活動的な意味かよ
マジで不正云々の根拠は無いんすね

政治活動を主たる目的としてる団体はダメって話であって団体の政治活動自体を禁止するものじゃねーから適用されねーよ
主たる目的っていう日本語分からないのが君らのリーダーだけどな"
4280,"@brain_theater 新幹線はマァ、住民の利便性以上に政治的なあれやこれやも結構大きく影響しますからなあ。あ〜世知辛い世知辛い(ΦωΦ)

しかし旅目線でみれば不便なのもそれはそれで楽しかったりする(* ¯ ω¯)"
4281,ウエストランドは「人を傷つける笑い」でありながらジェンダー政治等本当にセンシティブな話題は綺麗にスルーしてて、「誰も傷つけない笑い」であるぺこぱは同性婚とか少子高齢化とか社会問題をガンガン扱ってるんだよね
4282,"鹿児島のみなさん

政治のタガが外れた状態が日常化していく。

そんなことを許してはいけません。

みなさんと一緒に、もっともっと、声をあげていきたいと思います！ https://t.co/i3sXvGOAvV"
4283,"しかし能無し金亡者の政治家ばかりなのに

この日本の""治安の良さ""はなんなんだ？（最近はアレだけど）

飼い慣らされた国民だから？"
4284,日本が嫌なら日本から出ていけばいいなんて言う論法は通用せんよ。むしろ出ていくのは無能な政治家やから
4285,"言い回しも選べねぇのかと

コイツ 政治家にイチャモンつけることしか頭にないのか

頭がまともに機能した結果が この言葉かよ

#差別 https://t.co/yGTAmv2yOl"
4286,@sadsam17193799 @rkayama 何が「政治アカ」だよ。差別アカウントは恥を知れ。 https://t.co/SkWxv9ByKY
